"id","unit_id","title","title_phrase","display_order","quizlet_deck_url","exercises"
"lesson-antiphons","unit-2","The Antiphons","section-antiphons","3","","[{""exercise_id"":""first-antiphon-through-theotokos""},{""exercise_id"":""antiphon-only-begotten""},{""exercise_id"":""antiphon-accepted-incarnate""},{""exercise_id"":""antiphon-became-man""},{""exercise_id"":""antiphon-trampled-death""},{""exercise_id"":""antiphon-glorified-with-father""}]"
"lesson-litany-of-peace","unit-3","Litany of Peace","section-litany-of-peace","2","","[{""exercise_id"":""litany-of-peace""}]"
"lesson-entrance","unit-2","The Entrance","section-entrance","5","","[{""exercise_id"":""entrance-let-us-pray""},{""exercise_id"":""entrance-bless-master""},{""exercise_id"":""entrance-wisdom-stand-upright""},{""exercise_id"":""entrance-come-worship""},{""exercise_id"":""entrance-save-us-risen""},{""exercise_id"":""entrance-save-us-wondrous""}]"
"lesson-glory","unit-1","Glory","glory-001","3","","[{""exercise_id"":""glory-both-now-beginner""}]"
"lesson-thrice-holy","unit-1","Thrice Holy Hymn","section-trisagion-hymn","4","","[{""exercise_id"":""trisagion-hymn-core""}]"
"lesson-little-litanies","unit-2","Little Litanies","section-little-litany","4","","[{""exercise_id"":""little-litany-again""}]"
"lesson-liturgy-word","unit-2","Liturgy of the Word","section-liturgy-word","6","","[{""exercise_id"":""liturgy-word-gospel-dialogue""}]"
"lesson-lord-have-mercy","unit-1","Lord have mercy","lord-have-mercy-001","1","","[{""exercise_id"":""lord-have-mercy""}]"
"lesson-jesus-prayer","unit-1","Jesus Prayer","jesus-prayer-lord-jesus-christ-001","2","","[{""exercise_id"":""jesus-prayer""}]"
"lesson-all-holy-trinity","unit-1","All Holy Trinity","all-holy-trinity-001","5","","[{""exercise_id"":""all-holy-trinity-address""},{""exercise_id"":""all-holy-trinity-lord""},{""exercise_id"":""all-holy-trinity-master""},{""exercise_id"":""all-holy-trinity-holy-one""},{""exercise_id"":""all-holy-trinity""}]"
