"section","section_title_phrase","section_group","section_group_title_phrase","segment_ids"
"The Preparation for the Divine Liturgy","section-preparation-divine-liturgy","Prothesis","section-prothesis","[""preparation-heavenly-king"",""preparation-treasury-giver"",""preparation-cleanse-save"",""preparation-rubric-omit-heavenly-king"",""preparation-glory-highest"",""preparation-open-my-lips"",""preparation-open-door-mercy"",""preparation-time-lord-act"",""preparation-blessed-is-our-god"",""preparation-pray-for-me"",""preparation-lord-direct-steps"",""preparation-remember-me"",""preparation-lord-remember-kingdom""]"
"Blessed is the Kingdom","section-introductory-blessing","Liturgy of the Catechumen","section-liturgy-catechumen","[""opening-bless-master"",""opening-blessed-kingdom"",""opening-amen""]"
"Litany of Peace","section-litany-of-peace","Liturgy of the Catechumen","section-liturgy-catechumen","[""litany-peace-in-peace"",""litany-peace-let-us-pray"",""litany-peace-lord-have-mercy-choir"",""litany-peace-from-above"",""litany-peace-let-us-pray"",""litany-peace-lord-have-mercy-choir"",""litany-peace-whole-world"",""litany-peace-let-us-pray"",""litany-peace-lord-have-mercy-choir"",""litany-peace-holy-house"",""litany-peace-let-us-pray"",""litany-peace-lord-have-mercy-choir"",""litany-peace-healthful-seasons"",""litany-peace-let-us-pray"",""litany-peace-lord-have-mercy-choir"",""litany-peace-travelers"",""litany-peace-let-us-pray"",""litany-peace-lord-have-mercy-choir"",""litany-peace-deliverance"",""litany-peace-let-us-pray"",""litany-peace-lord-have-mercy-choir"",""litany-peace-help-save"",""litany-peace-lord-have-mercy-choir"",""litany-peace-calling-remembrance"",""litany-peace-to-thee-o-lord"",""litany-peace-priest-might-quiet"",""litany-peace-priest-look-quiet"",""litany-peace-priest-doxology"",""litany-peace-choir-amen"",""litany-peace-rubric-theotokos-icon""]"
"The First Antiphon","section-first-antiphon","Liturgy of the Catechumen","section-liturgy-catechumen","[""first-antiphon-through-theotokos-1"",""first-antiphon-glory"",""first-antiphon-through-theotokos-2"",""first-antiphon-both-now"",""first-antiphon-through-theotokos-3"",""first-antiphon-rubric-little-litany""]"
"Little Litany After the First Antiphon","section-little-litany-after-first-antiphon","Liturgy of the Catechumen","section-liturgy-catechumen","[""little-litany-again"",""little-litany-lord-have-mercy-1"",""little-litany-help-save"",""little-litany-lord-have-mercy-2"",""little-litany-calling-remembrance"",""little-litany-to-thee-o-lord"",""little-litany-save-thy-people-quiet"",""little-litany-glorify-forsake-quiet"",""little-litany-for-thine-might"",""little-litany-amen"",""little-litany-rubric-christ-icon""]"
"The Second Antiphon","section-second-antiphon","Liturgy of the Catechumen","section-liturgy-catechumen","[""second-antiphon-save-us-risen-1"",""second-antiphon-weekdays-label"",""second-antiphon-save-us-weekdays"",""second-antiphon-glory"",""second-antiphon-save-us-risen-2"",""second-antiphon-both-now"",""antiphon-word-of-god-only-begotten"",""antiphon-deathless"",""antiphon-accepted-incarnate"",""antiphon-from-theotokos"",""antiphon-became-man"",""antiphon-crucified"",""antiphon-trampled-death"",""antiphon-one-of-trinity"",""antiphon-glorified-with-father"",""antiphon-save-us""]"
"The Little Litany After the Second Antiphon","section-little-litany-after-second-antiphon","Liturgy of the Catechumen","section-liturgy-catechumen","[""little-litany-again"",""little-litany-lord-have-mercy-1"",""little-litany-help-save"",""little-litany-lord-have-mercy-2"",""little-litany-calling-remembrance"",""little-litany-to-thee-o-lord"",""little-litany-common-supplications-quiet"",""little-litany-fulfill-quiet"",""little-litany-good-god-doxology"",""little-litany-amen"",""little-litany-rubric-christ-icon""]"
"The Entrance","section-entrance","Liturgy of the Catechumen","section-liturgy-catechumen","[""entrance-let-us-pray"",""entrance-priest-master-lord-quiet"",""entrance-priest-doxology"",""entrance-amen-bless-master"",""entrance-blessed-entrance"",""entrance-deacon-amen"",""entrance-wisdom-stand-upright""]"
"The Entrance Hymn","section-entrance-hymn","Liturgy of the Catechumen","section-liturgy-catechumen","[""entrance-hymn-come-worship"",""entrance-hymn-save-us-son-of-god"",""entrance-hymn-risen-label"",""entrance-hymn-risen-sundays"",""entrance-hymn-risen-alleluia"",""entrance-hymn-weekdays-label"",""entrance-hymn-wondrous-weekdays"",""entrance-hymn-wondrous-alleluia"",""entrance-hymn-rubric"",""trisagion-holy-god-resting-quiet"",""trisagion-seraphim-quiet"",""trisagion-cherubim-quiet"",""trisagion-heavenly-powers-quiet"",""trisagion-out-of-nothing-quiet"",""trisagion-created-humanity-quiet"",""trisagion-gives-wisdom-quiet"",""trisagion-not-neglect-sinners-quiet"",""trisagion-repentance-salvation-quiet"",""trisagion-made-worthy-servants-quiet"",""trisagion-stand-before-altar-quiet"",""trisagion-offer-worship-quiet"",""trisagion-receive-from-mouths-quiet"",""trisagion-thrice-holy-hymn-quiet"",""trisagion-visit-goodness-quiet"",""trisagion-forgive-every-sin-quiet"",""trisagion-sanctify-souls-bodies-quiet"",""trisagion-grant-worship-quiet"",""trisagion-all-days-life-quiet"",""trisagion-theotokos-intercessions-quiet"",""trisagion-all-saints-quiet"",""entrance-hymn-final-let-us-pray"",""entrance-hymn-final-lord-have-mercy"",""entrance-hymn-holy-art-benediction"",""entrance-hymn-deacon-ages"",""entrance-hymn-final-amen""]"
"Thrice-Holy Hymn","section-trisagion-hymn","Liturgy of the Catechumen","section-liturgy-catechumen","[""trisagion-hymn-holy-god-1"",""trisagion-hymn-glory"",""trisagion-hymn-holy-immortal"",""trisagion-with-strength"",""trisagion-hymn-holy-god-2"",""trisagion-rubric-baptized"",""trisagion-rubric-cross"",""word-command-master"",""word-blessed-cometh"",""word-bless-throne"",""word-blessed-throne"",""word-amen""]"
