"id","arabic","translation","literal","tags"
"again-and-again","أَيْضاً وَأَيْضاً","Again and again","Again and again","[""section: Little Litany After the First Antiphon"",""section: The Little Litany After the Second Antiphon""]"
"to-thee-o-lord","لَكَ يَا رَبّ","To thee O Lord","To you O Lord","[""section: Litany of Peace"",""section: Little Litany After the First Antiphon"",""section: The Little Litany After the Second Antiphon""]"
"help-save-have-mercy-001","أَعْضُدْ وَخَلِّصْ وَارْحَمْ","Help save have mercy","Support and save and have mercy","[""verbs"",""mercy"",""repeated"",""section: Litany of Peace"",""section: Little Litany After the First Antiphon"",""section: The Little Litany After the Second Antiphon""]"
"preserve-us-001","وَاحْفَظْنَا","and preserve us","and preserve us","[""petition"",""repeated"",""section: Litany of Peace"",""section: Little Litany After the First Antiphon"",""section: The Little Litany After the Second Antiphon""]"
"o-god-001","يَا اللَّهُ","O God","O God","[""address"",""repeated"",""section: Litany of Peace"",""section: Little Litany After the First Antiphon"",""section: The Little Litany After the Second Antiphon""]"
"by-your-grace-001","بِنِعْمَتِكَ","by Your grace","by Your grace","[""grace"",""repeated"",""section: Litany of Peace"",""section: Little Litany After the First Antiphon"",""section: The Little Litany After the Second Antiphon""]"
"for-our-salvation-001","مِنْ أجْلِ خَلاصِنا","for our salvation","for the sake of our salvation","[""salvation"",""incarnation"",""section: The Second Antiphon""]"
"accepted-incarnate-001","لَقَدْ قَبِلْتَ أنْ تَتَجَسَّدَ","who deigned to be incarnate","indeed you accepted to be embodied","[""incarnation"",""section: The Second Antiphon""]"
"deathless-001","الَّذي لَمْ يَزَلْ غَيرَ مائِتٍ","who art immortal","who has not ceased being deathless","[""christology"",""deathless"",""section: The Second Antiphon""]"
"title-only-begotten-son-word-of-god","يا كَلِمَةَ اللّٰهِ الابْنَ الوَحيد","Only begotten Son and Word of God","O Word of God the Only Begotten Son","[""section-title"",""lesson-title"",""antiphons""]"
"holy-house-001","مِنْ أَجْلِ هَذَا الْبَيْتِ الْقِدِّيس","For this holy house","for the sake of this holy house","[""church"",""place"",""section: Litany of Peace""]"
"role-priest","الكاهِنْ","Priest","The Priest","[""role""]"
"from-theotokos-001","مِنَ القدّيسةِ والِدةِ الإِلهِ","of the holy Theotokos","from the holy Mother of God","[""theotokos"",""incarnation"",""section: The Second Antiphon""]"
"enter-with-faith-001","وَالَّذِينَ يَدْخُلُونَ إِلَيْهِ بِإِيمَانٍ وَوَرَعٍ وَخَوْفِ اللَّه","and those who with faith reverence and the fear of God enter therein","and those who enter into it with faith and reverence and fear of God","[""faith"",""reverence"",""fear-of-god"",""section: Litany of Peace""]"
"role-choir","الجَوْقة","Choir","The Choir","[""role""]"
"role-deacon","الشَمَّاسْ","Deacon","The Deacon","[""role""]"
"crucified-001","وَصُلِبْتَ أَيُّها الْمَسيحُ إِلَهُنا","and wast crucified O Christ our God","and you were crucified O Christ our God","[""crucifixion"",""section: The Second Antiphon""]"
"section-antiphons","الأَنْدِيفُونَات","Antiphons","Antiphons","[""section-title"",""antiphons""]"
"section-second-antiphon","الأَنْدِيفُونَا الثَّانِيَة","The Second Antiphon","The second antiphon","[""section-title"",""antiphon"",""section: The Second Antiphon""]"
"word-of-god-001","يا كَلِمَةَ اللّٰهِ","O Word of God","O Word of God","[""address"",""word-of-god"",""christology"",""section: The Second Antiphon""]"
"ever-virgin-mary-001","الدّائمةِ البَتوليَّةِ مَرْيَمَ","the ever virgin Mary","the ever virgin Mary","[""theotokos"",""mary"",""section: The Second Antiphon""]"
"became-man-001","وَتأَنَّسْتَ بِغَيْرِ اسْتِحالَةٍ","and without change became man","and you became human without alteration","[""incarnation"",""christology"",""section: The Second Antiphon""]"
"save-us-001","خَلِّصْنا","save us","save us","[""petition"",""section: The Second Antiphon"",""section: The Entrance Hymn""]"
"lord-have-mercy-001","يَا رَبُّ ارْحَمْ","Lord have mercy","O Lord have mercy","[""response"",""mercy"",""repeated"",""section: Litany of Peace"",""section: Little Litany After the First Antiphon"",""section: The Little Litany After the Second Antiphon"",""section: The Entrance Hymn"",""section: Prayer Before the Gospel""]"
"one-of-trinity-001","وَأَنْتَ لَمْ تَزَلْ أَحَدَ الثّالوثِ الْقَدّوسِ","who art one of the Holy Trinity","and you have not ceased being one of the Holy Trinity","[""trinity"",""section: The Second Antiphon""]"
"glorified-with-father-001","الْمُمَجَّدَ مَعَ الْآبِ والرّوحِ الْقُدُسِ","glorified together with the Father and the Holy Spirit","glorified with the Father and the Holy Spirit","[""trinity"",""section: The Second Antiphon""]"
"whole-world-001","مِنْ أَجْلِ سَلامِ الْعَالَمِ كُلِّهِ","For the peace of the whole world","for the sake of peace of the whole world","[""peace"",""world"",""section: Litany of Peace""]"
"union-001","وَاتِّحَادِ الْجَمِيع","and the union of all","and union of everyone","[""unity"",""section: Litany of Peace""]"
"salvation-001","وَخَلاصِ نُفُوسِنَا","and the salvation of our souls","and salvation of our souls","[""salvation"",""souls"",""section: Litany of Peace""]"
"section-litany-of-peace","طِلْبَةُ السَّلام","Litany of Peace","Petition of peace","[""section-title"",""litany"",""section: Litany of Peace""]"
"only-begotten-001","الْابْنَ الْوَحيدَ","the Only Begotten Son","the Only Begotten Son","[""christology"",""only-begotten"",""section: The Second Antiphon""]"
"role-all","الكُلُّ","All","Everyone","[""role""]"
"peace-001","بِسَلامٍ","In peace","With peace","[""peace"",""opening"",""section: Litany of Peace"",""section: Little Litany After the First Antiphon"",""section: The Little Litany After the Second Antiphon""]"
"peace-from-above-001","مِنْ أَجْلِ السَّلامِ مِنَ الْعُلَى","For the peace from above","for the sake of the peace from on high","[""peace"",""petition"",""section: Litany of Peace""]"
"trampled-death-001","وَبِمَوْتِكَ وَطِئْتَ الْمَوْتَ","and trampled down death by dath","and by your death you trampled death","[""resurrection"",""death"",""section: The Second Antiphon""]"
"petition-001","إِلَى الرَّبِّ نَطْلُب","let us pray to the Lord","to the Lord we ask","[""petition"",""repeated"",""section: Litany of Peace"",""section: Little Litany After the First Antiphon"",""section: The Little Litany After the Second Antiphon"",""section: The Entrance"",""section: The Entrance Hymn"",""section: Prayer Before the Gospel""]"
"holy-churches-001","وَحُسْنِ ثَبَاتِ كَنَائِسِ اللَّهِ الْقِدِّيسَة","and the good estate of the holy churches of God","and the good stability of the holy churches of God","[""church"",""stability"",""section: Litany of Peace""]"
"role-rubric","إِرْشَاد","Rubric","Instruction","[""role"",""rubric""]"
"section-entrance","الدُّخُول","The Entrance","The entrance","[""section-title"",""entrance"",""section: The Entrance""]"
"section-entrance-hymn","تَرْنِيمَةُ الدُّخُول","The Entrance Hymn","Hymn of the entrance","[""section-title"",""entrance"",""hymn"",""section: The Entrance Hymn""]"
"amen-001","آمِين","Amen","Amen","[""response"",""repeated"",""section: The Preparation for the Divine Liturgy"",""section: Blessed is the Kingdom"",""section: Litany of Peace"",""section: The First Antiphon"",""section: Little Litany After the First Antiphon"",""section: The Second Antiphon"",""section: The Little Litany After the Second Antiphon"",""section: The Entrance"",""section: The Entrance Hymn"",""section: Thrice-Holy Hymn"",""section: Prayer Before the Gospel""]"
"entrance-master-lord-god-001","أَيُّهَا السَّيِّدُ الرَّبُّ إِلَهُنَا","O Master Lord our God","O Master Lord our God","[""entrance"",""priest-prayer"",""quiet"",""section: The Entrance""]"
"entrance-appointed-angels-001","يَا مَنْ أَقَامَ فِي السَّمَاوَاتِ طَغْمَاتٍ وَجُنُودَ مَلَائِكَةٍ وَرُؤَسَاءَ مَلَائِكَةٍ","who hast appointed in heaven orders and hosts of angels and archangels","O you who appointed in the heavens ranks and hosts of angels and archangels","[""entrance"",""priest-prayer"",""quiet"",""angels"",""section: The Entrance""]"
"entrance-service-glory-001","لِخِدْمَةِ مَجْدِهِ","for the service of thy glory","for the service of his glory","[""entrance"",""priest-prayer"",""quiet"",""section: The Entrance""]"
"entrance-make-our-entrance-001","إِجْعَلْ دُخُولَنَا مَقْرُونًا بِدُخُولِ مَلَائِكَةٍ قِدِّيسِينَ","Cause that with our entrance there may be an entrance of holy angels","make our entrance joined with an entrance of holy angels","[""entrance"",""priest-prayer"",""quiet"",""angels"",""section: The Entrance""]"
