"id","speaker","break_before","tags","phrases"
"litany-peace-in-peace","role-deacon","","[]","[{""phrase_id"":""peace-001""}]"
"litany-peace-let-us-pray","role-deacon","","[]","[{""phrase_id"":""petition-001""}]"
"litany-peace-lord-have-mercy-choir","role-choir","","[]","[{""phrase_id"":""lord-have-mercy-001""},{""text"":"".""}]"
"litany-peace-from-above","role-deacon","true","[]","[{""phrase_id"":""peace-from-above-001""},{""text"":""، ""},{""phrase_id"":""salvation-001""},{""text"":""،""}]"
"litany-peace-whole-world","role-deacon","true","[]","[{""phrase_id"":""whole-world-001""},{""text"":""، ""},{""phrase_id"":""holy-churches-001""},{""text"":""، ""},{""phrase_id"":""union-001""},{""text"":""،""}]"
"litany-peace-holy-house","role-deacon","true","[]","[{""phrase_id"":""holy-house-001""},{""text"":""، ""},{""phrase_id"":""enter-with-faith-001""},{""text"":""،""}]"
"litany-peace-help-save","role-deacon","","[]","[{""phrase_id"":""help-save-have-mercy-001""},{""text"":""، ""},{""phrase_id"":""preserve-us-001""},{""text"":""، ""},{""phrase_id"":""o-god-001""},{""text"":"" ""},{""phrase_id"":""by-your-grace-001""},{""text"":"".""}]"
"litany-peace-lord-have-mercy-all","role-all","","[]","[{""phrase_id"":""lord-have-mercy-001""},{""text"":"".""}]"
"antiphon-word-of-god-only-begotten","role-all","","[]","[{""phrase_id"":""word-of-god-001""},{""text"":"" ""},{""phrase_id"":""only-begotten-001""},{""text"":""،""}]"
"antiphon-deathless","role-all","","[]","[{""phrase_id"":""deathless-001""},{""text"":""،""}]"
"antiphon-accepted-incarnate","role-all","","[]","[{""phrase_id"":""accepted-incarnate-001""},{""text"":"" ""},{""phrase_id"":""for-our-salvation-001""},{""text"":""،""}]"
"antiphon-from-theotokos","role-all","","[]","[{""phrase_id"":""from-theotokos-001""},{""text"":"" ""},{""phrase_id"":""ever-virgin-mary-001""},{""text"":""،""}]"
"antiphon-became-man","role-all","","[]","[{""phrase_id"":""became-man-001""},{""text"":"".""}]"
"antiphon-crucified","role-all","","[]","[{""phrase_id"":""crucified-001""},{""text"":""،""}]"
"antiphon-trampled-death","role-all","","[]","[{""phrase_id"":""trampled-death-001""},{""text"":""،""}]"
"antiphon-one-of-trinity","role-all","","[]","[{""phrase_id"":""one-of-trinity-001""},{""text"":""،""}]"
"antiphon-glorified-with-father","role-all","","[]","[{""phrase_id"":""glorified-with-father-001""},{""text"":""،""}]"
"antiphon-save-us","role-all","","[]","[{""phrase_id"":""save-us-001""},{""text"":"".""}]"
"second-antiphon-save-us-risen-1","role-choir","","[""antiphon"",""hymn"",""ordinary-sundays""]","[{""phrase_id"":""save-us-001""},{""text"":"" ""},{""phrase_id"":""son-of-god-001""},{""text"":""، ""},{""phrase_id"":""entrance-risen-dead-001""},{""text"":""، ""},{""phrase_id"":""entrance-we-sing-to-you-001""},{""text"":"" ""},{""phrase_id"":""alleluia-001""},{""text"":"".""}]"
"second-antiphon-weekdays-label","role-choir","true","[""antiphon"",""hymn"",""weekdays"",""rubric""]","[{""text"":""(""},{""phrase_id"":""weekdays-label-001""},{""text"":"")""}]"
"second-antiphon-save-us-weekdays","role-choir","","[""antiphon"",""hymn"",""weekdays""]","[{""phrase_id"":""save-us-001""},{""text"":"" ""},{""phrase_id"":""son-of-god-001""},{""text"":""، ""},{""phrase_id"":""entrance-wondrous-saints-001""},{""text"":""، ""},{""phrase_id"":""entrance-we-sing-to-you-001""},{""text"":"" ""},{""phrase_id"":""alleluia-001""},{""text"":"".""}]"
"second-antiphon-glory","role-choir","true","[""antiphon"",""hymn"",""doxology""]","[{""phrase_id"":""glory-001""},{""text"":"" ""},{""phrase_id"":""to-father-son-holy-spirit-001""},{""text"":"".""}]"
